,id,area,sq_mt_built,n_rooms,address,street_name,rent_price,buy_price,built_year,has_parking
74,21668,"Butarque, Madrid",117.0,3,"Piso en venta en calle Ganados del Salobral , 12",Calle Ganados del Salobral ,1050,244171,,True
75,21667,"Butarque, Madrid",117.0,3,"Piso en venta en calle Ganados del Salobral , 12",Calle Ganados del Salobral ,1048,243468,,True
76,21666,"Butarque, Madrid",117.0,3,"Piso en venta en calle Ganados del Salobral , 12",Calle Ganados del Salobral ,1052,244798,,True
77,21665,"Butarque, Madrid",118.0,3,"Piso en venta en calle Ganados del Salobral , 12",Calle Ganados del Salobral ,977,219235,,True
78,21664,"Butarque, Madrid",115.0,3,"Piso en venta en calle Ganados del Salobral , 12",Calle Ganados del Salobral ,1046,242789,,True
79,21663,"San Andrés, Madrid",97.0,4,Piso en venta en calle Parvillas Altas s/n,,666,130000,1970.0,False
80,21662,"Butarque, Madrid",106.0,3,"Piso en venta en calle Arroyo de la Bulera, 31",Calle Arroyo de la Bulera,1071,251569,,False
81,21661,"Butarque, Madrid",103.0,3,"Piso en venta en calle Arroyo de la Bulera, 31",Calle Arroyo de la Bulera,1025,235402,,False
82,21660,"Butarque, Madrid",103.0,3,"Piso en venta en calle Arroyo de la Bulera, 31",Calle Arroyo de la Bulera,1024,235172,,False
83,21659,"Butarque, Madrid",103.0,3,"Piso en venta en calle Arroyo de la Bulera, 31",Calle Arroyo de la Bulera,1027,236227,,False
84,21658,"Butarque, Madrid",114.0,3,"Piso en venta en calle Arroyo de la Bulera, 31",Calle Arroyo de la Bulera,1080,254710,,False
85,21657,"San Andrés, Madrid",150.0,2," Chalet adosado en venta en calle Emilia Ballester, Madrid, 15",Calle Emilia Ballester,777,159000,1993.0,True
86,21656,"Butarque, Madrid",140.0,3,"Dúplex en venta en calle Estefanita, 6",Calle Estefanita,1128,272500,2004.0,False
87,21655,"Los Rosales, Madrid",58.0,3,Piso en venta en calle del Estroncio,Calle del Estroncio,471,85000,1951.0,False
88,21654,"San Cristóbal, Madrid",65.0,3,Piso en venta en calle Moncada,Calle Moncada,512,94000,,False
89,21653,"Los Rosales, Madrid",110.0,4,Piso en venta en calle de Martinez Oviol,Calle de Martinez Oviol,833,175000,1978.0,False
90,21652,"Villaverde, Madrid",173.0,4,Piso en venta en Butarque,,1116,268000,2003.0,True
91,21651,"Villaverde, Madrid",75.0,2,Ático en venta en San Andrés,,766,156000,,False
92,21650,"Butarque, Madrid",90.0,1,"Ático en venta en calle Ganados del Salobral , 12",Calle Ganados del Salobral ,861,183159,,True
93,21649,"Los Rosales, Madrid",125.0,3,"Piso en venta en calle de la Generosidad, 16",Calle de la Generosidad,948,210000,1996.0,True
94,21648,"San Andrés, Madrid",58.0,2,Piso en venta en calle de Tordegrillos,Calle de Tordegrillos,471,85000,1968.0,False
95,21647,"Los Ángeles, Madrid",92.0,3,Piso en venta en avenida de la Verbena de la Paloma,Avenida de la Verbena de la Paloma,780,159900,1962.0,False
96,21646,"San Andrés, Madrid",70.0,2,"Piso en venta en paseo Alberto Palacios, 35",Paseo Alberto Palacios,613,117000,1975.0,False
97,21645,"San Andrés, Madrid",54.0,2,"Piso en venta en calle Doctor Pérez Domínguez, 2",Calle Doctor Pérez Domínguez,583,110000,1960.0,False
98,21644,"Villaverde, Madrid",52.0,2,Piso en venta en Los Rosales,,539,100000,,False
99,21643,"San Andrés, Madrid",108.0,3,Piso en venta en calle de los Cacereños,Calle de los Cacereños,705,140000,1995.0,False
